br,time,rating
1,10,0.6
1,11,3.3
1,12,0.4
1,14,4.3
1,15,3.8
1,16,2.3
1,16,3.6
1,17,2.6
1,18,1.5
1,20,4.3
2,10,4.2
2,11,2.4
2,12,2.1
2,14,1
2,15,3.7
2,18,0.7
2,19,3.4
2,21,4.2
2,21,0.6
2,22,4.1
3,16,1.4
3,18,0.9
3,17,1.3
3,9,0.7
3,9,0.6
3,15,1.8
3,22,2.9
3,13,2.1
3,13,3.5
3,16,2.3
4,12,1.8
4,18,3.8
4,14,4
4,22,0.2
4,17,4.2
4,11,4.8
4,18,1
4,21,2.4
4,13,1.1
4,12,1.8
5,13,1.6
5,20,3
5,19,2
5,22,0.1
5,19,0.8
5,14,4
5,12,0.9
5,11,3.1
5,13,4.5
5,13,1.6
